Type,Sound File Name,Text to Paste,Category,Vibe / Keywords,Speaker Details
Custom Sound,apple pay.wav,(apple pay),Internet & Memes,"Sound Effect, Chime, Money, Payment",N/A
Custom Sound,are you a homo.wav,(are you a homo),Pop Culture & Media,"Vintage, Out of Context, Direct Question",
Custom Sound,are you calling me stupid.wav,(are you calling me stupid),Pop Culture & Media,"Offended, Defensive, Argument, Drama",
Custom Sound,are you kidding.wav,(are you kidding),Pop Culture & Media,"Disbelief, Shocked, Annoyed",
Custom Sound,are you out of your gd mind.wav,(are you out of your gd mind),Pop Culture & Media,"Angry, Screaming, Shocked, Confrontation",
Custom Sound,auughhh.wav,(auughhh),Internet & Memes,"Groan, Snore, Weird Noise",Male
Custom Sound,awkward-crow-silence.wav,(awkward-crow-silence),SFX & UI,"Bird, Crickets, Unfunny, Bombing, Quiet",N/A
Custom Sound,awooga - jess new girl.wav,(awooga - jess new girl),Pop Culture & Media,"New Girl, Horn-y, Flirty, Jaw Drop, Exaggerated",Female
Custom Sound,ba dum tish.wav,(ba dum tish),SFX & UI,"Rimshot, Joke, Comedy, Unfunny",N/A
Custom Sound,bang bang bang.wav,(bang bang bang),SFX & UI,"Gunshot, Knocking, Loud, Action",N/A
Custom Sound,bang!.wav,(bang!),SFX & UI,"Single Shot, Pop, Surprise",N/A
Custom Sound,bazinga.wav,(bazinga),Pop Culture & Media,"Big Bang Theory, Sheldon, Gotcha, Prank",Male
Custom Sound,because i respect you.wav,(because i respect you),Pop Culture & Media,"Sincere, Sarcastic, Relationship, Drama",
Custom Sound,biiiiiiitch.wav,(biiiiiiitch),Internet & Memes,"Key & Peele, Whisper, Sassy, Dramatic",Male
Custom Sound,BIKES.wav,(BIKES),Internet & Memes,"Tom Segura, Screaming, Random, Loud",Male
Custom Sound,BITCH.wav,(BITCH),Human Vocals,"Aggressive, Insult, Shout, Swear",
Custom Sound,bleeh.wav,(bleeh),Human Vocals,"Gross, Tongue, Disgust",
Custom Sound,bone-crack.wav,(bone-crack),SFX & UI,"Injury, Gross, Fight, Crunch",N/A
Custom Sound,Boom.wav,(Boom),SFX & UI,"Explosion, Drop, Gotcha, Impact",N/A
Custom Sound,boring etc.wav,(boring etc),Pop Culture & Media,"Dismissive, Annoyed, Uninterested",
Custom Sound,boxing bell.wav,(boxing bell),SFX & UI,"Round 1, Fight, Ring, Match Start",N/A
Custom Sound,breaking glass table.wav,(breaking glass table),SFX & UI,"Smash, Crash, Chaos, Destructive",N/A
Custom Sound,brother ew.wav,(brother ew),Internet & Memes,"Gross, Disgusted, Judgmental, Viral",Male
Custom Sound,bubbles.wav,(bubbles),SFX & UI,"Liquid, Underwater, Bloop",N/A
Custom Sound,burp.wav,(burp),Human Vocals,"Gross, Indigestion, Rude",
Custom Sound,butt butt butt.wav,(butt butt butt),Internet & Memes,"Goofy, Silly, Repetitive",
Custom Sound,bye bitch.wav,(bye bitch),Internet & Memes,"Dismissive, Sassy, Leaving, Insult",
Custom Sound,bye felicia.wav,(bye felicia),Pop Culture & Media,"Friday, Ice Cube, Dismissive, Cold",Male
Custom Sound,bye-bye kid.wav,(bye-bye kid),Pop Culture & Media,"Creepy, Taunting, Leaving",
Custom Sound,byee - female.wav,(byee - female),Human Vocals,"Friendly, Leaving, Wave",Female
Custom Sound,byee - male.wav,(byee - male),Human Vocals,"Friendly, Leaving, Wave",Male
Custom Sound,camera click.wav,(camera click),SFX & UI,"Photo, Shutter, Flash, Caught",N/A
Custom Sound,can i pet that dawg.wav,(can i pet that dawg),Internet & Memes,"Cute, Viral, Kid, Animal, Southern","Male, Child"
Custom Sound,can we take a moment to celebrate me.wav,(can we take a moment to celebrate me),Pop Culture & Media,"Selfish, Sassy, Confident, Main Character",
Custom Sound,can you shut the f up.wav,(can you shut the f up),Human Vocals,"Aggressive, Rude, Annoyed, Silence",
Custom Sound,cartoon malfunction.wav,(cartoon malfunction),SFX & UI,"Robot, Error, Break, Sparks, Quirky",N/A
Custom Sound,cartoon snore.wav,(cartoon snore),SFX & UI,"Mimimi, Sleep, Boring, Tired",N/A
Custom Sound,cash register.wav,(cash register),SFX & UI,"Cha-Ching, Money, Rich, Sale",N/A
Custom Sound,cat - sci fi.wav,(cat - sci fi),SFX & UI,"Meow, Cyber, Futuristic, Alien Pet",N/A
Custom Sound,cat.wav,(cat),SFX & UI,"Purr, Meow, Animal",N/A
Custom Sound,chewbacca.wav,(chewbacca),Pop Culture & Media,"Star Wars, Wookiee, Roar, Groan",Creature
Custom Sound,chomp.wav,(chomp),SFX & UI,"Bite, Eating, Crunchy",N/A
Custom Sound,christmas bells.wav,(christmas bells),SFX & UI,"Sleigh, Holiday, Winter, Jingle",N/A
Custom Sound,clear throat - female.wav,(clear throat - female),Human Vocals,"Ahem, Attention, Passive Aggressive",Female
Custom Sound,clear throat - male.wav,(clear throat - male),Human Vocals,"Ahem, Attention, Passive Aggressive",Male
Custom Sound,cocaine is.wav,(cocaine is),Pop Culture & Media,"Rick James, Drugs, Wild, Confession",Male
Custom Sound,cork pop.wav,(cork pop),SFX & UI,"Wine, Champagne, Celebrate, Opening",N/A
Custom Sound,crack&cocaine.wav,(crack&cocaine),Internet & Memes,"Viral, Out of Context, Shocking",
Custom Sound,cracking whip.wav,(cracking whip),SFX & UI,"Whiplash, Controlled, Burn, Caught",N/A
Custom Sound,crowd - amen.wav,(crowd - amen),Crowd & Atmosphere,"Preach, Agreement, Church, Collective",Crowd
Custom Sound,crowd - golf clap.wav,(crowd - golf clap),Crowd & Atmosphere,"Polite, Boring, Low Energy, Sarcastic",Crowd
Custom Sound,crowd - wow edgy.wav,(crowd - wow edgy),Crowd & Atmosphere,"Sarcastic, Mocking, Cringe, Groan",Crowd
Custom Sound,crowd booing.wav,(crowd booing),Crowd & Atmosphere,"Negative, Rejection, Angry, Thumbs Down",Crowd
Custom Sound,Crowd cheering.wav,(Crowd cheering),Crowd & Atmosphere,"Appreciative, Happy, Win, Celebration",Crowd
Custom Sound,crowd dissapointed.wav,(crowd dissapointed),Crowd & Atmosphere,"Aww, Fail, Sad, Letdown",Crowd
Custom Sound,crowd gasp.wav,(crowd gasp),Crowd & Atmosphere,"Shocked, Dramatic, Plot Twist, Surprised",Crowd
Custom Sound,crowd kid EW.wav,(crowd kid EW),Crowd & Atmosphere,"Gross, Disgusted, Child, Funny","Crowd, Children"
Custom Sound,crowd kids booing.wav,(crowd kids booing),Crowd & Atmosphere,"Negative, Rejection, Childish, Mocking","Crowd, Children"
Custom Sound,Crowd Laugh Track.wav,(Crowd Laugh Track),Crowd & Atmosphere,"Sitcom, Comedy, Setup, TV Show",Crowd
Custom Sound,crowd ooh.wav,(crowd ooh),Crowd & Atmosphere,"Impressed, Burn, Drama, Gossip",Crowd
Custom Sound,Crowd Panic.wav,(Crowd Panic),Crowd & Atmosphere,"Chaos, Screaming, Terror, Danger",Crowd
Custom Sound,crowd WOW.wav,(crowd WOW),Crowd & Atmosphere,"Amazed, Shocked, Surprised",Crowd
Custom Sound,daammn-friday.wav,(daammn-friday),Pop Culture & Media,"Friday, Chris Tucker, Burn, Impressed",Male
Custom Sound,daddy chill.wav,(daddy chill),Internet & Memes,"Viral, Weird, Calm Down, Confrontation",Male
Custom Sound,damn-kevin hart.wav,(damn-kevin hart),Pop Culture & Media,"Kevin Hart, Shocked, Disbelief",Male
Custom Sound,damnit focus.wav,(damnit focus),Human Vocals,"Stern, Serious, Pay Attention",
Custom Sound,dear lord help me father.wav,(dear lord help me father),Human Vocals,"Desperate, Praying, Exhausted, Stressed",
Custom Sound,deez nuts.wav,(deez nuts),Internet & Memes,"WelvenDaGreat, Viral, Prank, Gotcha",Male
Custom Sound,delight to the senses.wav,(delight to the senses),Pop Culture & Media,"Sarcastic, Fancy, Over the Top, Classy",
Custom Sound,demure mindful.wav,(demure mindful),Internet & Memes,"TikTok, Calm, Sarcastic, Proper, Trendy",Female
Custom Sound,denial - your husband is gay.wav,(denial - your husband is gay),Pop Culture & Media,"Drama, Reality TV, Calling Out, Shocking",Female
Custom Sound,dibs.wav,(dibs),Human Vocals,"Claiming, Fast, Mine",
Custom Sound,did we just become best friends.wav,(did we just become best friends),Pop Culture & Media,"Step Brothers, Hype, Agreement, Happy",Male
Custom Sound,dinosaur roar.wav,(dinosaur roar),SFX & UI,"Monster, Animal, Loud, Jurassic",Creature
Custom Sound,dinosaur.wav,(dinosaur),SFX & UI,"Monster, Growl, Animal",Creature
Custom Sound,DJ Airhorn.wav,(DJ Airhorn),SFX & UI,"Hype, Reggae, Sound Effect, Loud",N/A
Custom Sound,do i make you horny bby.wav,(do i make you horny bby),Pop Culture & Media,"Austin Powers, Flirty, Silly, Retro",Male
Custom Sound,does he look like a bitch.wav,(does he look like a bitch),Pop Culture & Media,"Pulp Fiction, Samuel L Jackson, Threat, Angry",Male
Custom Sound,Dog Bark Angry.wav,(Dog Bark Angry),SFX & UI,"Aggressive, Guard, Vicious, Animal",N/A
Custom Sound,DOH!.wav,(DOH!),Pop Culture & Media,"The Simpsons, Homer, Mistake, Fail, Regret",Male
Custom Sound,dont bend over.wav,(dont bend over),Human Vocals,"Warning, Out of Context, Sketchy",
Custom Sound,dont call me.wav,(dont call me),Human Vocals,"Dismissive, Boundaries, Reject",
Custom Sound,dont worry bout it sweetheart.wav,(dont worry bout it sweetheart),Internet & Memes,"Sassy, Dismissive, Shady, Casual",
Custom Sound,door knock.wav,(door knock),SFX & UI,"Rappers, Visitor, Surprise, Sound Effect",N/A
Custom Sound,drip drip drip.wav,(drip drip drip),SFX & UI,"Water, Leak, Plumbing, Slow",N/A
Custom Sound,drugs.wav,(drugs),Human Vocals,"Blunt, Out of Context, Confession",
Custom Sound,duck.wav,(duck),SFX & UI,"Quack, Animal, Bird",N/A
Custom Sound,elphaba riff.wav,(elphaba riff),Pop Culture & Media,"Wicked, Singing, Dramatic, High Note, Belt",Female
Custom Sound,emotional damage.wav,(emotional damage),Internet & Memes,"Steven He, Burn, Savage, Fail, Roasted",Male
Custom Sound,error.wav,(error),SFX & UI,"System, Buzz, Wrong, Fail",N/A
Custom Sound,exploding kitten.wav,(exploding kitten),SFX & UI,"Boom, Card Game, Cat, Cartoon",N/A
Custom Sound,f ya life bing bong.wav,(f ya life bing bong),Internet & Memes,"Nems, New York, Street, Aggressive, Viral",Male
Custom Sound,faaah.wav,(faaah),Human Vocals,"Disgust, Exasperated, Sigh",
Custom Sound,fart - random.wav,(fart - random),SFX & UI,"Gross, Funny, Gas, Surprise",N/A
Custom Sound,fashion show at lunch.wav,(fashion show at lunch),Pop Culture & Media,"The Office, Kelly Kapoor, Gossip, Sassy",Female
Custom Sound,fast as fuck boi.wav,(fast as fuck boi),Internet & Memes,"Keemstar, Speed, Running, Zooming",Male
Custom Sound,fbi open up.wav,(fbi open up),Internet & Memes,"Raid, Loud, Caught, Explosion, Police",Male
Custom Sound,for crying out loud.wav,(for crying out loud),Human Vocals,"Frustrated, Annoyed, Old School",
Custom Sound,fortnite death.wav,(fortnite death),Pop Culture & Media,"Gaming, Knocked, Lose, Sound Effect",N/A
Custom Sound,freaky-deaky.wav,(freaky-deaky),Internet & Memes,"Weird, Sus, Suggestive, Quirky",
Custom Sound,friday night gentlemen its on.wav,(friday night gentlemen its on),Pop Culture & Media,"Hype, Weekend, Confident, Let's Go",Male
Custom Sound,fuck you son.wav,(fuck you son),Human Vocals,"Aggressive, Insult, Argument",Male
Custom Sound,fuck you.wav,(fuck you),Human Vocals,"Aggressive, Angry, Swear, Shut Up",
Custom Sound,gahdamn.wav,(gahdamn),Internet & Memes,"Reaction, Impressed, Shocked, Accent",Male
Custom Sound,get over here - scorpion.wav,(get over here - scorpion),Pop Culture & Media,"Mortal Kombat, Combat, Hook, Aggressive",Male
Custom Sound,gey-echo.wav,(gey-echo),Internet & Memes,"Community, Chang, Mocking, Insult",Male
Custom Sound,goat-random1.wav,(goat-random1),SFX & UI,"Bleat, Scream, Animal, Funny",N/A
Custom Sound,goku ultra instinct.wav,(goku ultra instinct),Pop Culture & Media,"Anime, DBZ, Hype, God Mode, Power Up",N/A
Custom Sound,goo-goo-gaga.wav,(goo-goo-gaga),Human Vocals,"Baby, Cute, Childish",Baby
Custom Sound,good-byeeeeee.wav,(good-byeeeeee),Human Vocals,"Dramatic, Leaving, Singing",
Custom Sound,goodnight dude bitch.wav,(goodnight dude bitch),Internet & Memes,"Aggressive, Dismissive, Going to Bed",Male
Custom Sound,goodnight.wav,(goodnight),Human Vocals,"Calm, Sleep, Standard",
Custom Sound,goofy sound.wav,(goofy sound),SFX & UI,"Cartoon, Silly, Whimsical",N/A
Custom Sound,got eem.wav,(got eem),Internet & Memes,"Prank, Gotcha, Deez Nuts, Burn",Male
Custom Sound,gotcha bitch!.wav,(gotcha bitch!),Pop Culture & Media,"Dave Chappelle, Caught, Prank, Surprise",Male
Custom Sound,gotta be no dawg.wav,(gotta be no dawg),Internet & Memes,"Rejection, Disbelief, No Way",Male
Custom Sound,greeting - female.wav,(greeting - female),Human Vocals,"Hello, Polite, Friendly",Female
Custom Sound,grunt - tim allen.wav,(grunt - tim allen),Pop Culture & Media,"Home Improvement, Manly, Confused, Tool Time",Male
Custom Sound,Gun Burst.wav,(Gun Burst),SFX & UI,"Firearm, Shooting, Action, Rapid",N/A
Custom Sound,gun cock and shot.wav,(gun cock and shot),SFX & UI,"Weapon, Danger, Bang, Threat",N/A
Custom Sound,Gun Shot.wav,(Gun Shot),SFX & UI,"Firearm, Bang, Weapon, Action",N/A
Custom Sound,GUP.wav,(GUP),Internet & Memes,"Gasp, Weird, Random, Quick",
Custom Sound,ha-gay.wav,(ha-gay),Pop Culture & Media,"Community, Senor Chang, Mocking, Insult",Male
Custom Sound,haaa - scared.wav,(haaa - scared),Human Vocals,"Gasp, Frightened, Surprise",
Custom Sound,hallelujah.wav,(hallelujah),Music Cues,"Church, Choir, Holy, Miracle, Win",Crowd
Custom Sound,have you tried turning it off and on.wav,(have you tried turning it off and on),Pop Culture & Media,"IT Crowd, Tech Support, Sarcastic, Nerdy",Male
Custom Sound,he knew he f-ed up.wav,(he knew he f-ed up),Internet & Memes,"Narrator, Regret, Mistake, Karma, Fail",Male
Custom Sound,heartbeats.wav,(heartbeats),SFX & UI,"Thumping, Tension, Fear, Nervous, Pulse",N/A
Custom Sound,heavy breathing - male.wav,(heavy breathing - male),Human Vocals,"Creepy, Tired, Suspense, Exhausted",Male
Custom Sound,hee hee - MJ.wav,(hee hee - MJ),Pop Culture & Media,"Michael Jackson, Music, Pop, High Pitch",Male
Custom Sound,hehehuhuh.wav,(hehehuhuh),Human Vocals,"Laugh, Mischievous, Chuckle, Goofy",
Custom Sound,hello - seinfeld.wav,(hello - seinfeld),Pop Culture & Media,"Seinfeld, Jerry, Newman, Resentful, Grudge",Male
Custom Sound,hello motherfucker.wav,(hello motherfucker),Internet & Memes,"Bold, Aggressive, Surprise Entrance, Swear",Male
Custom Sound,hello there.wav,(hello there),Pop Culture & Media,"Star Wars, Obi-Wan, Greeting, Smooth",Male
Custom Sound,help is on the way dear.wav,(help is on the way dear),Pop Culture & Media,"Mrs. Doubtfire, Robin Williams, Panic, Rescue",Female Persona
Custom Sound,HELP scream.wav,(HELP scream),Human Vocals,"Panic, Emergency, Loud, Terror",
Custom Sound,HELP.wav,(HELP),Human Vocals,"Desperate, Danger, Distress",
Custom Sound,hes escaping.wav,(hes escaping),Pop Culture & Media,"Alarm, Running Away, Catch Him",
Custom Sound,hes gay.wav,(hes gay),Pop Culture & Media,"Blunt, Statement, Out of Context",
Custom Sound,hey stinky.wav,(hey stinky),Internet & Memes,"Insult, Playful, Teasing, Gross",Child
Custom Sound,hey wake up-male.wav,(hey wake up-male),Human Vocals,"Alert, Alarm, Shouting",Male
Custom Sound,hey-thats-pretty-good.wav,(hey-thats-pretty-good),Internet & Memes,"iDubbbz, Approval, Impressed, Sarcastic",Male
Custom Sound,"hey, hey.wav","(hey, hey)",Human Vocals,"Attention, Quick, Casual",
Custom Sound,heyoooo.wav,(heyoooo),Internet & Memes,"Hype, Intro, Greeting, Loud",Male
Custom Sound,hi-yah.wav,(hi-yah),Human Vocals,"Karate, Punch, Martial Arts, Action",
Custom Sound,hide your kids hide your wife.wav,(hide your kids hide your wife),Internet & Memes,"Antoine Dodson, Viral, Danger, Panic, Iconic",Male
Custom Sound,Holy sound.wav,(Holy sound),Music Cues,"Choirs, Angels, Heaven, Glowing, Reveal",N/A
Custom Sound,how rude!.wav,(how rude!),Pop Culture & Media,"Full House, Stephanie Tanner, Sassy, Offended","Female, Child"
Custom Sound,how yall doin.wav,(how yall doin),Human Vocals,"Southern, Greeting, Casual",
Custom Sound,howdy-ho.wav,(howdy-ho),Pop Culture & Media,"South Park, Mr. Hankey, High Pitch, Festive",Male
Custom Sound,huh.wav,(huh),Human Vocals,"Confused, Question, Deaf",
Custom Sound,i been missin you.wav,(i been missin you),Internet & Memes,"Sweet, Emotional, Affectionate",
Custom Sound,i cant believe youve done this.wav,(i cant believe youve done this),Internet & Memes,"Classic Vine, British, Punched, Shocked",Male
Custom Sound,i dont know how to respond to that.wav,(i dont know how to respond to that),Human Vocals,"Awkward, Stunned, Speechless, Silenced",
Custom Sound,i dont understand.wav,(i dont understand),Human Vocals,"Confused, Lost, Blank",
Custom Sound,I dont wanna do this.wav,(I dont wanna do this),Human Vocals,"Reluctant, Regret, Fear, Hesitant",
Custom Sound,i dont watch the news.wav,(i dont watch the news),Pop Culture & Media,"Oblivious, Ignorant, Detached",
Custom Sound,i find that arousing.wav,(i find that arousing),Pop Culture & Media,"Sus, Suggestive, Flirty, Direct",
Custom Sound,i got something to say to you man.wav,(i got something to say to you man),Pop Culture & Media,"Confrontation, Serious, Drama",Male
Custom Sound,i got thick thighs fat ass.wav,(i got thick thighs fat ass),Internet & Memes,"TikTok, Body Positive, Brag, Sassy",Female
Custom Sound,i havent even begun to peak.wav,(i havent even begun to peak),Pop Culture & Media,"Always Sunny, Dennis Reynolds, Unhinged, Ego",Male
Custom Sound,i hope i dont fall.wav,(i hope i dont fall),Human Vocals,"Clumsy, Unsteady, Warning",
Custom Sound,i just a baby.wav,(i just a baby),Internet & Memes,"TikTok, Innocent, Excuse, Cute",Child
Custom Sound,I like turtles.wav,(I like turtles),Internet & Memes,"Zombie Kid, Viral, Random, Out of Context","Male, Child"
Custom Sound,i love you - scream.wav,(i love you - scream),Human Vocals,"Aggressive Affection, Loud, Intense",
Custom Sound,I love you bitch.wav,(I love you bitch),Internet & Memes,"Vine, Acoustic Guitar, Aggressive Affection",Male
Custom Sound,i need to calm down.wav,(i need to calm down),Human Vocals,"Anxious, Stressed, Breathing",
